iter	Passed	Remaining
0	1	149
1	2	128
2	3	120
3	4	108
4	5	111
5	7	111
6	8	112
7	9	110
8	10	110
9	12	112
10	13	112
11	14	109
12	16	109
13	17	108
14	18	107
15	20	106
16	21	105
17	22	103
18	23	102
19	25	100
20	26	100
21	28	102
22	30	100
23	31	99
24	32	97
25	33	96
26	35	94
27	36	93
28	37	91
29	38	90
30	39	88
31	41	87
32	42	86
33	43	84
34	44	83
35	46	81
36	47	80
37	48	79
38	49	77
39	51	76
40	52	75
41	52	72
42	53	71
43	55	70
44	57	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	96	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	112	12
90	113	11
91	114	9
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
